00class,37cgrowth,40cgrowth,50%glucosegrowth,60%glucosegrowth,acidproduction,acidtolerant,amdglucoside,arbutinhydrolysis,cadaverine,cellobiose,citricacid,cyclohex1000ppm,cyclohex100ppm,darabinose,erythritol,ethanol,ethylamine,galactitol,galactose,gluconolactone,glucosamine,glucose,glycerol,inositol,inulin,kno3,lacticacid,lactose,larabinose,lipolytic,lysine,maltose,mannitol,melibiose,melizitose,methanol,nh42so4,raffinose,rhamnose,ribitol,ribose,salicin,solublestarch,sorbitol,sorbose,starchproduction,succinicacid,sucrose,trehalose,ureaseactivity,vitaminfreegrowth,xylitol,xylose
0,1,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN,-1,-1,-1,-1,-1,NaN,-1,-1,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,NaN,-1,-1
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN
0,1,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,NaN,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,NaN,-1,-1
0,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,-1,-1,1,-1,1,-1,NaN,1,NaN,NaN,1,-1,NaN,-1,-1,1,-1,NaN,-1,NaN,1,-1,-1,1,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1,1,0,NaN,-1,NaN,-1
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN,-1,-1,-1,-1,1,-1,-1,1,NaN,NaN,1,-1,-1,-1,-1,1,-1,-1,-1,NaN,1,-1,-1,-1,NaN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,NaN,1,NaN,-1
0,NaN,NaN,NaN,-1,NaN,NaN,1,-1,NaN,-1,NaN,-1,-1,-1,NaN,0,-1,NaN,1,NaN,NaN,1,-1,NaN,-1,-1,1,-1,NaN,-1,NaN,1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,-1,1,1,NaN,0,NaN,-1
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,NaN,-1,-1
0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,NaN,0,-1,-1,NaN,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,NaN,-1,NaN
0,NaN,NaN,NaN,-1,NaN,NaN,-1,1,NaN,-1,NaN,NaN,0,NaN,-1,1,NaN,NaN,1,NaN,NaN,1,1,NaN,-1,-1,1,-1,-1,-1,NaN,1,-1,-1,-1,NaN,1,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,-1,1,1,NaN,1,NaN,-1
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,1,1,-1,NaN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,NaN,-1,-1
0,1,NaN,-1,-1,0,NaN,1,-1,NaN,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,NaN,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,NaN,-1
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,1,NaN,-1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN
9,1,1,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,-1,-1,NaN,1,1
9,0,NaN,1,NaN,-1,NaN,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,NaN,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,1
9,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,NaN,0,NaN,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,0,1,NaN,-1,-1,-1,-1,NaN,-1,-1,-1,-1,-1,-1,NaN,1,-1,1,NaN,-1,-1,NaN,1,1
9,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,NaN,1,1
9,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,NaN,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,0,-1,NaN,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,NaN,1,1
5,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,-1,-1,NaN,-1,-1,-1,NaN,1,1,-1,1,NaN,NaN,-1,-1,1,-1,0,1,-1,1,-1,NaN,1,1,NaN,NaN,NaN,1
5,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,NaN,-1,NaN,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,-1,NaN,1,1
5,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,NaN,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,NaN,1,1
5,1,NaN,-1,NaN,-1,NaN,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,NaN,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,0,-1,1,-1,1,-1,0,-1,1
5,NaN,NaN,NaN,NaN,-1,NaN,1,-1,1,0,-1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,NaN,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,1,-1,1,-1,1
5,NaN,NaN,NaN,NaN,-1,NaN,1,-1,1,1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,NaN,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,1,1,-1,1,-1,1
5,1,1,1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,-1,NaN,1,1
5,1,1,1,-1,-1,-1,1,-1,1,0,0,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,NaN,0,1
5,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,-1,1,-1,1,NaN,1,-1,-1,1,1,1,-1,NaN,1,1
5,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,NaN,-1,-1,NaN,1,NaN,1,NaN,NaN,1,0,-1,-1,-1,NaN,-1,-1,-1,NaN,1,1,-1,1,NaN,NaN,-1,-1,1,-1,0,1,NaN,0,-1,NaN,1,1,NaN,NaN,NaN,1
5,1,1,1,-1,-1,-1,1,-1,1,0,0,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,NaN,1,1,-1,1,-1,1,0,-1,1,-1,NaN,1,1,1,-1,1,1,1,-1,NaN,1,1
5,-1,NaN,1,NaN,0,NaN,1,0,1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1,0,-1,-1,-1,NaN,1,1,-1,1,-1,1,-1,-1,1,-1,0,1,1,1,-1,1,1,1,-1,-1,1,1
5,1,1,0,-1,-1,-1,1,-1,1,0,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,1,1,-1,1,-1,1,NaN,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,NaN,0,1
5,1,NaN,-1,NaN,0,NaN,1,-1,1,0,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,NaN,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,0,1,1
5,1,NaN,-1,NaN,-1,NaN,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,NaN,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1
5,NaN,NaN,NaN,NaN,NaN,NaN,1,-1,NaN,1,NaN,NaN,NaN,-1,1,NaN,1,NaN,1,NaN,NaN,1,1,-1,-1,-1,NaN,-1,-1,-1,NaN,1,1,-1,1,NaN,1,-1,-1,1,-1,0,1,-1,1,-1,NaN,1,1,NaN,NaN,NaN,1
5,1,NaN,-1,-1,1,NaN,1,-1,NaN,1,NaN,NaN,1,-1,-1,1,-1,-1,1,NaN,NaN,1,1,-1,-1,-1,-1,-1,-1,1,NaN,1,1,-1,1,NaN,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,NaN,1,NaN,1
5,1,NaN,-1,-1,-1,NaN,1,-1,NaN,1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,NaN,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,NaN,1
5,1,NaN,-1,-1,-1,NaN,1,-1,NaN,1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,1,NaN,1,1,-1,1,-1,1,0,-1,1,-1,0,1,1,1,-1,1,1,1,-1,1,NaN,1
5,0,NaN,-1,-1,-1,0,1,-1,NaN,0,-1,NaN,0,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,NaN,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,-1,NaN,1
5,1,NaN,NaN,NaN,-1,NaN,1,NaN,NaN,1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,NaN,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,NaN,1
5,1,NaN,-1,-1,0,NaN,1,-1,NaN,1,1,-1,-1,-1,-1,1,1,-1,1,NaN,NaN,1,-1,-1,1,-1,0,-1,-1,-1,NaN,1,1,-1,1,NaN,1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,-1,1,NaN,1
5,1,NaN,-1,NaN,0,NaN,-1,-1,1,0,1,1,1,-1,-1,1,1,-1,1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,NaN,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,1,-1,0,-1,1
1,1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,1,NaN,NaN,1,-1,-1,0,1,-1,1,NaN,NaN,1,0,-1,-1,1,1,1,1,-1,NaN,-1,0,-1,-1,NaN,-1,1,-1,0,-1,0,1,1,-1,-1,1,1,-1,NaN,-1,NaN,1
1,1,NaN,NaN,-1,-1,NaN,-1,1,NaN,1,NaN,-1,-1,-1,-1,1,1,-1,1,NaN,NaN,1,1,-1,1,-1,1,1,1,-1,NaN,-1,1,-1,-1,NaN,1,1,-1,1,0,1,-1,1,-1,-1,1,1,-1,NaN,-1,NaN,1
1,1,NaN,-1,NaN,-1,NaN,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,NaN,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1
1,1,NaN,NaN,-1,NaN,1,-1,-1,NaN,-1,NaN,-1,-1,-1,-1,1,1,-1,1,NaN,NaN,1,NaN,-1,1,-1,1,1,1,-1,NaN,0,1,-1,1,NaN,1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,NaN,-1,NaN,1
1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,NaN,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1
1,-1,NaN,-1,-1,-1,NaN,-1,1,NaN,1,-1,NaN,1,-1,-1,1,1,-1,1,0,-1,1,1,-1,1,1,1,-1,1,-1,NaN,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,NaN,1
1,1,NaN,-1,-1,-1,NaN,1,-1,NaN,-1,-1,NaN,1,-1,-1,1,1,1,1,NaN,NaN,1,1,-1,1,-1,1,1,-1,NaN,NaN,-1,1,-1,-1,NaN,1,1,-1,1,-1,0,-1,1,-1,-1,1,1,-1,-1,-1,NaN,1
1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,NaN,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,NaN,1,1
1,1,NaN,-1,-1,-1,NaN,-1,-1,NaN,-1,-1,NaN,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,NaN,-1,0,-1,-1,-1,1,1,-1,0,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,NaN,-1
1,1,1,-1,NaN,-1,NaN,-1,1,NaN,1,-1,NaN,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,NaN,NaN,-1,0,-1,-1,-1,1,1,-1,0,0,1,-1,0,-1,-1,1,1,-1,-1,-1,NaN,1
1,1,1,-1,-1,1,NaN,-1,1,NaN,-1,-1,NaN,1,-1,-1,1,1,-1,1,-1,-1,1,0,-1,1,-1,1,1,-1,-1,NaN,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,NaN,-1
1,1,1,-1,-1,-1,NaN,-1,1,NaN,1,-1,NaN,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,NaN,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,NaN,1
1,1,1,-1,-1,0,NaN,-1,1,NaN,1,-1,NaN,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,NaN,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,NaN,-1
1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,NaN,1,1
1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,NaN,1,1
1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,NaN,1,1
1,1,NaN,NaN,NaN,-1,NaN,-1,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,0,-1,1,1,-1,1,-1,1,1,1,-1,NaN,-1,1,-1,-1,-1,1,1,-1,0,1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,NaN,NaN,-1,-1,NaN,1,NaN,1,NaN,NaN,1,0,-1,-1,-1,NaN,1,-1,-1,NaN,-1,-1,-1,-1,NaN,1,1,-1,-1,-1,0,1,1,-1,-1,NaN,1,-1,NaN,NaN,NaN,0
1,1,NaN,-1,-1,-1,NaN,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,NaN,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,-1,-1,0,1,-1,-1,-1,NaN,1
1,1,NaN,-1,-1,-1,-1,-1,1,1,0,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,NaN,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,1
1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,1,NaN,1,NaN,NaN,1,1,-1,1,-1,NaN,1,-1,NaN,NaN,-1,1,-1,-1,NaN,1,-1,-1,-1,-1,1,-1,-1,-1,-1,NaN,1,NaN,NaN,-1,NaN,-1
1,1,1,0,-1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,1,-1,-1,1,0,-1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,0,1,-1,-1,1,1,1
1,1,NaN,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,NaN,1,1,1,NaN,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,NaN,1,1
1,1,NaN,-1,NaN,-1,NaN,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,NaN,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,0,-1,-1,1,1,-1,-1,-1,1,1
1,1,NaN,-1,NaN,-1,NaN,-1,0,1,1,1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,NaN,-1,1,-1,-1,-1,1,1,-1,0,-1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,0
1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,1,0,-1,1,0,-1,1,-1,NaN,1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,NaN,NaN,-1,-1,1,0,-1,1,1,-1,-1,NaN,1,1
1,1,NaN,-1,-1,-1,-1,-1,1,1,0,1,-1,1,-1,-1,1,1,-1,1,0,-1,1,1,-1,1,-1,1,1,1,-1,NaN,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,NaN,-1,-1,NaN,1,NaN,1,NaN,NaN,1,1,-1,1,-1,NaN,1,1,-1,NaN,0,0,-1,-1,NaN,1,1,-1,0,1,1,-1,0,-1,-1,NaN,1,-1,NaN,NaN,NaN,1
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,0,NaN,NaN,NaN,-1,-1,NaN,1,NaN,1,NaN,NaN,1,-1,-1,-1,NaN,NaN,1,-1,-1,NaN,-1,-1,-1,-1,NaN,1,0,-1,-1,-1,-1,NaN,-1,-1,-1,NaN,1,-1,NaN,NaN,NaN,-1
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,0,NaN,-1,NaN,-1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN
2,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,NaN,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,NaN,-1,-1
8,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,1,NaN,-1,-1,-1,-1,0,1,-1,-1,NaN,NaN,1,0,-1,-1,-1,0,-1,-1,-1,NaN,-1,-1,-1,-1,NaN,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,NaN,-1,NaN,-1
8,-1,NaN,NaN,-1,0,1,-1,-1,NaN,0,NaN,NaN,1,-1,-1,1,1,-1,-1,NaN,NaN,1,1,-1,-1,-1,0,-1,-1,-1,NaN,-1,NaN,-1,-1,NaN,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,NaN,-1,NaN,-1
